gene_name	gene_biotype	Control_1	Control_2	Control_3	Treatment_1	Treatment_2	Treatment_3
Gm40483	protein_coding	463	1030	656	1173	879	409
Gm32335	protein_coding	590	70	355	429	632	261
LOC131390673	protein_coding	89	625	361	3946	1026	195
LOC128925963	protein_coding	1000	963	695	1737	951	1072
Gm17764	protein_coding	3090	3473	1484	2578	4070	2578
Vmn1r-ps59	protein_coding	368	281	301	317	364	235
1700069P05Rik	protein_coding	12	3325	4158	21	2209	22
Gm40667	protein_coding	793	2139	1179	1269	703	1760
LOC128924820	protein_coding	49	63	38	53	37	43
LOC132408329	protein_coding	1379	1660	1909	1952	1534	1077
Actr8	protein_coding	249	276	427	307	318	277
Gm41073	protein_coding	476	1666	1985	1509	962	1895
Apol11b	protein_coding	874	307	698	465	605	1557
Gm25285	protein_coding	3154	2510	939	135	1638	639
Gm28533	protein_coding	165	1348	2	35	229	22
LOC132443947	protein_coding	123	79	121	207	178	127
Gm32492	pseudogene	4885	2915	2335	836	1160	2172
1700066D14Rik	protein_coding	321	874	2751	1739	523	165
LOC132411701	protein_coding	767	295	233	601	1245	217
Muc20	protein_coding	549	323	1102	243	150	742
LOC132440985	pseudogene	295	983	1264	2971	247	1409
LOC132412164	protein_coding	524	416	2208	3749	1457	1031
LOC131374975	pseudogene	289	431	450	490	730	699
D13Mit65	pseudogene	163	96	710	105	177	427
Gabrr3	protein_coding	1577	848	2271	1478	3334	1059
Gm46450	protein_coding	623	250	711	496	701	566
LOC132408733	protein_coding	625	1086	494	93	293	48
LOC131296542	pseudogene	1227	1154	661	1620	1350	1145
LOC131338740	protein_coding	1605	573	2288	607	6761	9846
LOC128926346	lncRNA	1690	1286	1423	1677	1726	1610
LOC131388071	protein_coding	26	42	43	31	25	31
Fdpsl9	lncRNA	555	1348	2628	1855	602	1228
Adra1d	protein_coding	658	382	998	808	1002	469
LOC128927505	protein_coding	1506	212	2255	1550	1366	893
LOC132441356	protein_coding	258	424	547	313	421	209
Scgb2b20	lncRNA	92	243	164	118	227	419
Gm53488	protein_coding	460	447	426	250	1039	479
Klrb1b	protein_coding	733	1716	3886	9121	1536	636
Acadvl	pseudogene	391	316	1328	273	906	129
1700121C08Rik	protein_coding	32	671	821	952	1136	2026
Cpa6	protein_coding	207	64	211	407	951	696
LOC132412185	protein_coding	1522	1112	704	1919	1868	1064
LOC131337207	protein_coding	1497	1180	1073	776	589	654
Tic1	pseudogene	779	831	2203	1965	1472	1249
Gm42023	protein_coding	260	66	766	169	723	1259
LOC109280063	pseudogene	204	729	326	535	225	315
LOC131386324	lncRNA	948	987	1003	686	1013	547
LOC131391871	protein_coding	1603	1006	1720	2357	1101	676
Xmv3	pseudogene	2952	1923	2262	2002	1128	2386
Gm32235	protein_coding	982	2278	1249	1236	914	2301
Sluc2	protein_coding	786	444	598	1346	230	873
LOC132410253	protein_coding	3265	1627	1602	3277	2264	1326
LOC131378135	protein_coding	525	600	464	475	362	650
Gm42021	lncRNA	1857	1095	1711	5698	3164	2885
Gm15693	protein_coding	116	226	341	298	79	77
Gm7639	protein_coding	5	688	194	908	592	346
Gm40502	protein_coding	2264	1011	2012	1340	1132	2168
LOC132409607	protein_coding	43	9	336	1724	1305	839
LOC128924571	protein_coding	1237	623	1451	1216	606	540
Cdc5lrt6	protein_coding	520	1600	423	360	1344	312
Tmie	protein_coding	674	322	211	277	728	1027
Gm31450	pseudogene	2731	1657	2904	1693	910	1989
Fancg	lncRNA	917	632	787	819	1769	1060
LOC131373490	protein_coding	430	777	709	1569	270	927
Bgeq1	lncRNA	380	131	1051	1060	315	320
Gm15089	protein_coding	301	73	559	596	878	279
Gem	protein_coding	98	530	400	140	343	188
Gm15762	lncRNA	1535	2157	1096	911	888	1916
Rpl21-ps11	protein_coding	930	770	1535	568	700	335
LOC131297035	protein_coding	628	1102	1397	447	734	802
LOC131295892	protein_coding	453	33	388	247	346	118
C77438	protein_coding	349	997	604	931	261	533
LOC131296321	protein_coding	200	1422	263	886	400	725
LOC131379604	protein_coding	1084	721	1052	1137	807	451
LOC131388131	protein_coding	2523	1224	1158	349	476	2068
Prdx5	protein_coding	86	292	60	124	195	80
Gm7052	protein_coding	907	669	600	647	811	685
LOC131339966	protein_coding	196	207	289	162	311	266
LOC131341833	protein_coding	176	338	155	186	309	232
Mir6345	protein_coding	319	281	894	532	824	721
LOC128925595	protein_coding	1040	1521	1188	871	1389	1503
Gm22053	protein_coding	1134	1221	1348	972	1155	1160
Slco1a1	protein_coding	846	687	694	736	303	255
LOC131390543	protein_coding	2788	1121	1689	1156	692	1884
Tgif2	lncRNA	4142	3050	4912	2080	2684	3036
Dnaaf9	protein_coding	2262	609	899	939	1179	1266
LOC131388411	protein_coding	2669	1646	281	343	848	88
LOC131339995	protein_coding	456	515	436	573	648	466
LOC132441634	protein_coding	0	0	0	0	1	0
Gm52340	protein_coding	391	358	363	461	396	284
LOC131375408	protein_coding	195	1021	1065	1439	440	414
Gm36292	protein_coding	65	345	128	129	212	288
D14Mit56	protein_coding	780	315	5760	2956	2550	1149
Gm41954	pseudogene	833	1024	5271	2205	1586	393
LOC131296278	pseudogene	2006	1088	999	888	495	1000
2600002B07Rik	protein_coding	1244	172	1051	1575	1237	764
D3Mit196	protein_coding	3762	5904	2295	350	1139	3218
Gm24844	protein_coding	1829	760	1568	987	1609	2590
Gm30617	protein_coding	502	646	1167	340	231	168
Gm38506	protein_coding	1343	500	351	774	657	413
LOC131380227	protein_coding	642	237	298	671	230	206
Cia20	protein_coding	544	217	383	706	630	592
Gstm7	protein_coding	170	455	462	186	141	381
LOC131388241	protein_coding	135	52	256	146	1245	1062
