gene_name	gene_biotype	Control_1	Control_2	Control_3	Treatment_1	Treatment_2	Treatment_3
Ifng	protein_coding	463	1030	656	1173	879	409
Cxcl9	protein_coding	590	70	355	429	632	261
Cxcl10	protein_coding	89	625	361	3946	1026	195
Gzmb	protein_coding	1000	963	695	1737	951	1072
Prf1	protein_coding	3090	3473	1484	2578	4070	2578
Cd8a	protein_coding	368	281	301	317	364	235
Cd4	protein_coding	12	3325	4158	21	2209	22
Foxp3	protein_coding	793	2139	1179	1269	703	1760
Arg1	protein_coding	49	63	38	53	37	43
Mrc1	protein_coding	1379	1660	1909	1952	1534	1077
Cd163	protein_coding	249	276	427	307	318	277
Ccl2	protein_coding	476	1666	1985	1509	962	1895
Vegfa	protein_coding	874	307	698	465	605	1557
Acta2	protein_coding	3154	2510	939	135	1638	639
Col1a1	protein_coding	165	1348	2	35	229	22
Ptprc	protein_coding	123	79	121	207	178	127
Gene_0017	pseudogene	4885	2915	2335	836	1160	2172
Gene_0018	protein_coding	321	874	2751	1739	523	165
Gene_0019	protein_coding	767	295	233	601	1245	217
Gene_0020	protein_coding	549	323	1102	243	150	742
Gene_0021	pseudogene	295	983	1264	2971	247	1409
Gene_0022	protein_coding	524	416	2208	3749	1457	1031
Gene_0023	pseudogene	289	431	450	490	730	699
Gene_0024	pseudogene	163	96	710	105	177	427
Gene_0025	protein_coding	1577	848	2271	1478	3334	1059
Gene_0026	protein_coding	623	250	711	496	701	566
Gene_0027	protein_coding	625	1086	494	93	293	48
Gene_0028	pseudogene	1227	1154	661	1620	1350	1145
Gene_0029	protein_coding	1605	573	2288	607	6761	9846
Gene_0030	lncRNA	1690	1286	1423	1677	1726	1610
Gene_0031	protein_coding	26	42	43	31	25	31
Gene_0032	lncRNA	555	1348	2628	1855	602	1228
Gene_0033	protein_coding	658	382	998	808	1002	469
Gene_0034	protein_coding	1506	212	2255	1550	1366	893
Gene_0035	protein_coding	258	424	547	313	421	209
Gene_0036	lncRNA	92	243	164	118	227	419
Gene_0037	protein_coding	460	447	426	250	1039	479
Gene_0038	protein_coding	733	1716	3886	9121	1536	636
Gene_0039	pseudogene	391	316	1328	273	906	129
Gene_0040	protein_coding	32	671	821	952	1136	2026
Gene_0041	protein_coding	207	64	211	407	951	696
Gene_0042	protein_coding	1522	1112	704	1919	1868	1064
Gene_0043	protein_coding	1497	1180	1073	776	589	654
Gene_0044	pseudogene	779	831	2203	1965	1472	1249
Gene_0045	protein_coding	260	66	766	169	723	1259
Gene_0046	pseudogene	204	729	326	535	225	315
Gene_0047	lncRNA	948	987	1003	686	1013	547
